N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"73,100",100,-0.14%,100,"4,363,911","5,969,783",54.44,"12,970,027",15.54,17.07,
2,SK하이닉스,"134,100","1,900",-1.40%,"5,000","976,251","728,002",53.24,"1,872,153",-8.50,3.56,
3,LG에너지솔루션,"413,000","2,500",-0.60%,500,"966,420","234,000",4.80,"150,317",63.52,5.75,
4,삼성바이오로직스,"744,000","7,000",-0.93%,"2,500","529,535","71,174",10.69,"36,212",56.52,11.42,
5,삼성전자우,"59,800",300,+0.50%,100,"492,086","822,887",73.09,"673,247",12.71,N/A,
6,셀트리온,"196,900","8,100",-3.95%,"1,000","433,752","220,291",100.00,"1,716,455",47.72,13.35,
7,현대차,"186,000","1,000",-0.53%,"5,000","393,449","211,532",33.79,"239,479",4.47,9.36,
8,POSCO홀딩스,"448,500","3,000",-0.66%,"5,000","379,302","84,571",27.14,"468,248",30.63,6.11,
9,NAVER,"230,500","1,000",-0.43%,100,"374,352","162,409",48.69,"513,342",44.63,3.29,
10,기아,"88,300","1,400",-1.56%,"5,000","355,005","402,044",39.32,"912,414",3.88,14.57,
11,LG화학,"449,000","10,500",-2.29%,"5,000","316,960","70,592",42.91,"222,101",26.98,6.95,
12,삼성SDI,"408,000","8,500",-2.04%,"5,000","280,559","68,765",44.48,"365,817",13.58,12.52,
13,카카오,"60,400",400,-0.66%,100,"268,689","444,850",27.01,"2,002,407",616.33,13.54,
14,포스코퓨처엠,"314,000","8,500",-2.64%,500,"243,235","77,463",6.81,"457,071",300.77,4.87,
15,삼성물산,"122,300",700,+0.58%,100,"226,979","185,592",21.01,"149,879",9.98,7.16,
16,KB금융,"51,000",0,0.00%,"5,000","205,791","403,511",73.05,"918,907",4.37,9.17,
17,현대모비스,"214,500","1,500",-0.69%,"5,000","200,890","93,655",39.05,"123,427",5.93,6.80,
18,신한지주,"36,650",550,-1.48%,"5,000","187,926","512,759",60.77,"526,691",4.63,9.70,
19,에코프로머티,"230,500",500,-0.22%,500,"159,011","68,985",1.18,"1,041,323",784.01,6.77,
20,LG전자,"94,700",300,-0.32%,"5,000","154,974","163,648",28.80,"580,534",25.45,6.61,
21,HMM,"20,650","1,060",+5.41%,"5,000","142,287","689,039",9.76,"8,443,711",4.76,64.98,
22,카카오뱅크,"29,400",300,-1.01%,"5,000","140,200","476,872",16.06,"2,872,489",41.23,4.68,
23,삼성에스디에스,"169,900","3,900",+2.35%,500,"131,465","77,378",18.85,"240,963",16.53,14.23,
24,삼성생명,"63,200",400,+0.64%,500,"126,400","200,000",18.05,"288,167",5.06,5.73,
25,SK이노베이션,"124,600","2,100",-1.66%,"5,000","125,417","100,656",21.78,"374,030",-50.45,8.49,
26,하나금융지주,"41,450",200,+0.48%,"5,000","121,182","292,357",68.81,"429,108",3.33,10.06,
27,메리츠금융지주,"59,300",700,+1.19%,500,"120,600","203,372",17.26,"235,793",5.48,30.32,
28,삼성화재,"254,500","7,000",+2.83%,500,"120,569","47,375",53.80,"63,684",7.07,9.70,
29,LG,"76,300","1,100",-1.42%,"5,000","120,021","157,301",36.44,"292,946",11.51,8.48,
30,한국전력,"18,670",30,+0.16%,"5,000","119,855","641,964",14.11,"562,318",-0.87,-46.91,
31,SK,"163,400",400,-0.24%,200,"119,606","73,198",23.91,"65,306",-15.29,5.13,
32,KT&G,"87,400","2,600",-2.89%,"5,000","116,961","133,822",42.71,"250,432",16.37,11.00,
33,삼성전기,"145,100","2,400",-1.63%,"5,000","108,381","74,694",30.92,"267,732",22.90,13.76,
34,SK텔레콤,"49,400",250,+0.51%,100,"108,104","218,833",41.20,"290,315",9.56,7.97,
35,HD현대중공업,"119,000",500,+0.42%,"5,000","105,640","88,773",7.44,"40,299",-62.83,-6.47,
36,하이브,"247,000","9,000",-3.52%,500,"102,881","41,652",20.90,"195,811",133.44,1.87,
37,고려아연,"470,000","2,500",-0.53%,"5,000","98,270","20,909",18.04,"21,661",15.71,9.38,
38,크래프톤,"201,500",500,+0.25%,100,"97,451","48,363",33.31,"42,256",22.25,10.29,
39,두산에너빌리티,"15,060",90,-0.59%,"5,000","96,468","640,561",14.73,"1,686,073",-22.51,-11.70,
40,포스코인터내셔널,"54,300",300,+0.56%,"5,000","95,526","175,923",6.31,"592,348",12.68,15.79,
41,우리금융지주,"12,540",70,+0.56%,"5,000","94,294","751,949",37.98,"716,785",3.15,11.51,
42,포스코DX,"60,900","2,500",-3.94%,500,"92,589","152,035",6.12,"1,836,265",110.73,11.84,
43,기업은행,"11,540",60,+0.52%,"5,000","92,023","797,426",14.12,"394,707",3.21,9.85,
44,KT,"33,550",100,+0.30%,"5,000","86,512","257,861",42.90,"262,123",7.30,7.99,
45,대한항공,"22,850",300,-1.30%,"5,000","84,138","368,221",16.50,"825,640",6.26,21.95,
46,HD한국조선해양,"109,100",500,+0.46%,"5,000","77,213","70,773",26.25,"79,461",51.34,-2.22,
47,카카오페이,"56,100","1,900",-3.28%,500,"75,323","134,265",40.21,"1,344,117",167.46,3.08,
48,SK바이오팜,"95,900","1,000",-1.03%,500,"75,102","78,313",8.17,"98,104",-89.96,-36.66,
49,S-Oil,"66,200",200,+0.30%,"2,500","74,530","112,583",76.80,"156,567",7.59,27.20,
50,아모레퍼시픽,"127,000",0,0.00%,500,"74,286","58,493",27.69,"86,141",54.46,2.81,
